""	"PARTID"	"order"	"item"	"CODE"	"...5"	"...6"	"...7"	"...8"	"...9"	"...10"	"...11"	"...12"	"...13"	"...14"	"...15"	"...16"
"231"	"LM012"	1	"Kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"232"	"LM012"	2	"Tro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"233"	"LM012"	3	"Aandelighed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"234"	"LM012"	4	"Fred/ro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"235"	"LM012"	5	"Spritualitet"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"236"	"LM013"	1	"Kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"237"	"LM013"	2	"Praester"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"238"	"LM013"	3	"Kulture"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"239"	"LM013"	4	"Misforstaaet"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"240"	"LM013"	5	"Misbrugt"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	"LM014"	1	"Daab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"242"	"LM014"	2	"Konfirmation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"243"	"LM014"	3	"Juleaften"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"244"	"LM014"	4	"Gaa i kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"245"	"LM014"	5	"Laese i biblen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"246"	"LM015"	1	"Gudstjeneste"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"247"	"LM015"	2	"Nadver"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"248"	"LM015"	3	"Boen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"249"	"LM015"	4	"Meditation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"250"	"LM015"	5	"Alter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"251"	"LM016"	1	"Boen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"252"	"LM016"	2	"Nadver"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"253"	"LM016"	3	"Gudstjeneste"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"254"	"LM016"	4	"Daab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"255"	"LM016"	5	"Konfirmation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"256"	"LM017"	1	"Holisme"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"257"	"LM017"	2	"Faellesskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"258"	"LM017"	3	"Guder"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"259"	"LM017"	4	"Ophoejethed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"260"	"LM017"	5	"Indre ro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"261"	"LM018"	1	"Ritualer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"262"	"LM018"	2	"Politik"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"263"	"LM018"	3	"Kommunikation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"264"	"LM018"	4	"Kropslighed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"265"	"LM018"	5	"Aandelighed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"266"	"LM019"	1	"Gudstjeneste"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"267"	"LM019"	2	"Sang"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"268"	"LM019"	3	"Boen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"269"	"LM019"	4	"Faellesskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"270"	"LM019"	5	"Naervaer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"271"	"LM020"	1	"Daab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"272"	"LM020"	2	"Helligaand"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"273"	"LM020"	3	"Boen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"274"	"LM020"	4	"Ekstase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"275"	"LM020"	5	"Faellesskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"276"	"mho001"	1	"shakra"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"277"	"mho001"	2	"ayurveda"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"278"	"mho001"	3	"buddhafigurer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"279"	"mho001"	4	"energier"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"280"	"mho001"	5	"gud"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"281"	"mho002"	1	"bede"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"282"	"mho002"	2	"gå i kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"283"	"mho002"	3	"gå med kors"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"284"	"mho002"	4	"gå med tørklæde"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"285"	"mho002"	5	"gifte sig med en med samme religion"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"286"	"mho003"	1	"at bede"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"287"	"mho003"	2	"at læse hellige skrifter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"288"	"mho003"	3	"at indgå i religiøse forsamlinger"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"289"	"mho003"	4	"traditioner"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"290"	"mho003"	5	"at følge regler og normer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"291"	"mho004"	1	"dåb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"292"	"mho004"	2	"nadver"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"293"	"mho004"	3	"vielse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"294"	"mho004"	4	"bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"295"	"mho004"	5	"velsignelse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"296"	"mho005"	1	"ritualer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"297"	"mho005"	2	"forbundethed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"298"	"mho005"	3	"meditation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"299"	"mho005"	4	"ro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"300"	"mho005"	5	"retræte"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"301"	"mho006"	1	"barmhjertighed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"302"	"mho006"	2	"bøn og meditation og empati"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"303"	"mho006"	3	"ansvar for natur og medmennesker"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"304"	"mho006"	4	"sang"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"305"	"mho006"	5	"fællesskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"306"	"mho007"	1	"nadver"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"307"	"mho007"	2	"bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"308"	"mho007"	3	"fadervor"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"309"	"mho007"	4	"trosbekendelsen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"310"	"mho007"	5	"overgangsritualer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"311"	"msc001"	1	"Kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"312"	"msc001"	2	"Sang"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"313"	"msc001"	3	"mormoner, religiøse klæder"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"314"	"msc001"	4	"Familie"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"315"	"msc001"	5	"Tradition"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"316"	"msc002"	1	"Bryllup"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"317"	"msc002"	2	"Barnedåb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"318"	"msc002"	3	"Begravelse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"319"	"msc002"	4	"Konfirmation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"320"	"msc002"	5	"Hannukah"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"321"	"msc003"	1	"Tro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"322"	"msc003"	2	"Vantro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"323"	"msc003"	3	"Usikkerhed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"324"	"msc003"	4	"Konspiration"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"325"	"msc003"	5	"Løgne"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"326"	"msc004"	1	"Symbol"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"327"	"msc004"	2	"Kors"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"328"	"msc004"	3	"Krige"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"329"	"msc004"	4	"Kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"330"	"msc005"	1	"Bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"331"	"msc005"	2	"Ydmyghed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"332"	"msc005"	3	"Transparant"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"333"	"msc005"	4	"Sjælelig"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"334"	"msc005"	5	"Sjæl"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"335"	"msc006"	1	"Kirkelige handlinger"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"336"	"msc007"	1	"Bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"337"	"msc007"	2	"Cermoni"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"338"	"msc007"	3	"Bryllup"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"339"	"msc007"	4	"Dans"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"340"	"msc007"	5	"Mad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"341"	"msc008"	1	"Katolicisme"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"342"	"msc008"	2	"Krystaller"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"343"	"msc008"	3	"Åndelige oplevelser"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"344"	"msc008"	4	"Helligånden"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"345"	"msc008"	5	"Faste"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"346"	"msc009"	1	"Bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"347"	"msc009"	2	"Krystaller"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"348"	"msc009"	3	"Kort"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"349"	"msc009"	4	"Jehovas vidner"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"350"	"msc009"	5	"Missionere"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"351"	"msc010"	1	"Meditation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"352"	"msc010"	2	"Ekstremisme"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"353"	"msc010"	3	"Fællesskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"354"	"msc010"	4	"Dans"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"355"	"msc010"	5	"Lettelse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"356"	"msr001"	1	"mening"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"357"	"msr001"	2	"sorg"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"358"	"msr001"	3	"debat"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"359"	"msr001"	4	"forskellighed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"360"	"msr001"	5	"uforstaaende"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"361"	"msr002"	1	"traditioner"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"362"	"msr002"	2	"alvorlighed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"363"	"msr002"	3	"centrering"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"364"	"msr002"	4	"troest"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"365"	"msr002"	5	"tavshed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"366"	"msr003"	1	"kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"367"	"msr003"	2	"tale"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"368"	"msr003"	3	"faellelsskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"369"	"msr003"	4	"troest"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"370"	"msr003"	5	"tro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"371"	"msr004"	1	"bede"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"372"	"msr004"	2	"kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"373"	"msr004"	3	"salmer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"374"	"msr004"	4	"ceremonier"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"375"	"msr004"	5	"bibelen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"376"	"msr005"	1	"boen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"377"	"msr005"	2	"aktiv"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"378"	"msr005"	3	"arkitektur"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"379"	"msr005"	4	"plukningsreligion"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"380"	"msr005"	5	"begravelse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"381"	"msr006"	1	"bede"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"382"	"msr006"	2	"gaa i kirke/ religioes institution"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"383"	"msr006"	3	"moské"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"384"	"msr006"	4	"hellig skrift"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"385"	"msr006"	5	"beklaedning"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"386"	"msr007"	1	"maerke sig selv"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"387"	"msr007"	2	"foele forbindelse til sig selv/noget stoerre"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"388"	"msr007"	3	"en vis ro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"389"	"msr007"	4	"meditation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"390"	"msr007"	5	"vaere i naturen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"391"	"msr007"	6	"have en foelelse af total afslappethed og bevidsthed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"392"	"msr008"	1	"kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"393"	"msr008"	2	"daab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"394"	"msr008"	3	"vold"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"395"	"msr008"	4	"skoer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"396"	"msr008"	5	"krig"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"397"	"msr009"	1	"ild"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"398"	"msr009"	2	"kram"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"399"	"msr009"	3	"storm"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"400"	"msr009"	4	"kold dukkert"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"401"	"msr009"	5	"den permanente"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"402"	"msr010"	1	"indlevelse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"403"	"msr010"	2	"faellesskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"404"	"msr010"	3	"haab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"405"	"msr010"	4	"hengivelse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"406"	"msr010"	5	"tro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"407"	"msr011"	1	"krystal"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"408"	"msr011"	2	"kors"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"409"	"msr011"	3	"noget med et taeppe/bedetaeppe"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"410"	"msr011"	4	"kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"411"	"msr011"	5	"sidde på en baenk i en kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"412"	"naj001"	1	"Spild af tid"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"413"	"naj001"	2	"Kedsommelighed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"414"	"naj001"	3	"Bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"415"	"naj001"	4	"Overtro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"416"	"naj001"	5	"Bedrevidenhed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"417"	"naj002"	1	"Bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"418"	"naj002"	2	"Meditation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"419"	"naj002"	3	"Nadver"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"420"	"naj002"	4	"Røgelse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"421"	"naj002"	5	"Gå caminoen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"422"	"naj003"	1	"Kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"423"	"naj003"	2	"Gud"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"424"	"naj003"	3	"Meditation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"425"	"naj003"	4	"Bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"426"	"naj003"	5	"Jesus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"427"	"naj004"	1	"Kirkegang"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"428"	"naj004"	2	"Klarsyn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"429"	"naj004"	3	"Næstekærlighed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"430"	"naj005"	1	"Tro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"431"	"naj005"	2	"Videnskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"432"	"naj005"	3	"Overtro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"433"	"naj005"	4	"Dåb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"434"	"naj005"	5	"Tvang"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"435"	"naj006"	1	"Religiøs er når der direkte er en religion involveret"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"436"	"naj006"	2	"kirke, moske, synagoge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"437"	"naj006"	3	"spirituelle handlinger, meditation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"438"	"naj006"	4	"krystaller"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"439"	"naj007"	1	"Kedelig"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"440"	"naj007"	2	"Uvidenskabeligt"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"441"	"naj007"	3	"Følelsesbetonet"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"442"	"naj007"	4	"Tilgivelse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"443"	"naj007"	5	"Folkekirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"444"	"naj008"	1	"Blasfemi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"445"	"naj008"	2	"Sekter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"446"	"naj008"	3	"Gode budskaber"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"447"	"naj008"	4	"Svage sjæle"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"448"	"naj008"	5	"Sammenhold"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"449"	"naj009"	1	"Blasfemi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"450"	"naj009"	2	"Sekter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"451"	"naj009"	3	"Sammenholf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"452"	"naj009"	4	"Lukkethed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"453"	"naj009"	5	"Kontrol"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"454"	"naj010"	1	"Symboler"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"455"	"naj010"	2	"Sekt"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"456"	"naj010"	3	"Okkult"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"457"	"naj010"	4	"Magi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"458"	"naj010"	5	"Afrika"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"459"	"naj011"	1	"Nadver"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"460"	"naj011"	2	"Dåb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"461"	"naj011"	3	"Bryllup"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"462"	"naj011"	4	"Jul"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"463"	"naj011"	5	"Påske"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"464"	"naj012"	1	"Kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"465"	"naj012"	2	"Sekt"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
